Focal,year,startdate,midDate,focgrp,ff_a1,ff_a2,ff_vg1,ff_vg2,ff_g1,ff_g2,fm_a1,fm_a2,fm_vg1,fm_vg2,fm_g1,fm_g2,obslact,obspreg,obsflat,obsswol,obsunkn,totalobs,obsinf91days,obsfs,notfs,CoresMDS
ut,2014,41640,41791,ENK,78,180,113,178,27,36,31,84,6,18,2,0,58,61,3,8,0,130,36,2,2,3
ut,2015,42005,42156,ENK,148,296,316,264,64,84,31,67,17,17,10,5,36,48,2,2,0,88,27,0,0,4
ut,2016,42370,42522,ENK,101,161,104,146,55,45,18,24,2,11,8,6,28,45,7,6,0,86,24,1,1,4
ut,2017,42736,42887,ENK,60,73,106,43,16,6,32,138,21,13,5,18,25,5,14,35,6,85,0,14,14,4
uv,2013,41275,41426,ENK,20,4,15,5,1,0,9,8,1,0,0,0,0,11,0,0,0,11,0,0,0,2
uv,2014,41640,41791,ENK,126,173,118,195,9,47,96,221,15,55,19,17,59,35,12,27,0,133,35,17,17,2
uv,2015,42005,42156,ENK,290,260,310,324,34,58,53,114,13,67,14,17,34,26,8,22,0,90,27,8,8,2
uv,2016,42370,42522,ENK,99,112,120,88,36,47,31,66,11,20,7,11,31,35,2,17,0,85,24,7,7,2
uv,2017,42736,42887,ENK,101,52,145,44,12,11,27,66,17,26,5,14,22,53,3,6,0,84,15,4,4,2
ux,2013,41275,41426,PHG,4,19,5,8,1,1,9,25,3,3,1,2,0,4,1,7,0,12,0,5,5,0
ux,2014,41640,41791,PHG,57,206,62,142,7,10,36,67,0,7,4,2,71,67,0,0,0,138,32,0,0,0
ux,2015,42005,42156,ENK,160,236,232,120,52,18,37,49,3,12,9,2,33,49,0,9,0,91,28,6,6,2
ux,2016,42370,42522,ENK,91,93,115,42,42,8,9,24,2,3,0,0,34,39,2,10,0,85,0,4,4,2
ux,2017,42736,42887,ENK,36,102,40,110,9,19,10,76,3,9,8,30,38,0,26,13,6,83,38,8,8,3
uz,2013,41275,41426,PHG,13,7,3,1,1,4,6,4,0,0,1,0,0,0,4,8,0,12,0,1,1,1
uz,2014,41640,41791,PHG,46,64,39,14,8,5,42,77,10,17,21,5,0,0,39,97,4,140,0,35,35,2
uz,2015,42005,42156,PHG,134,132,66,18,10,16,51,104,8,13,11,14,0,7,27,55,4,93,0,33,33,2
uz,2016,42370,42522,PHG,72,184,58,128,9,19,10,25,3,11,2,0,51,34,0,0,0,85,22,0,0,3
uz,2017,42736,42887,PHG,62,91,56,53,14,22,22,28,23,27,2,1,85,0,0,0,0,85,0,0,0,3
yp,2014,41640,41791,PHG,3,2,2,0,0,0,4,3,0,0,0,0,0,0,7,15,3,25,0,1,1,1
yp,2015,42005,42156,PHG,258,128,252,34,12,4,64,96,8,8,11,3,0,32,17,39,0,88,0,16,16,1
yp,2016,42370,42522,PHG,81,153,75,119,2,61,21,66,4,11,2,6,56,21,0,8,0,85,19,7,7,1
yp,2017,42736,42887,PHG,141,166,114,137,0,20,16,59,7,15,7,10,38,45,0,0,0,83,18,0,0,1
